minute,RR,WRR,LC,SED,NQ
0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0
1.0,28.1,33.78,41.37,13.7,16.4
1.5,2.48,11.32,29.02,2.34,2.24
2.0,2.52,2.85,11.41,2.31,2.82
2.5,2.52,2.43,10.19,2.26,2.87
3.0,2.51,2.38,2.31,2.24,2.84
3.5,2.52,2.65,2.31,2.25,2.23
4.0,2.43,2.58,2.3,2.27,2.26
4.5,2.43,2.68,2.34,2.24,2.29
5.0,2.43,2.54,2.37,2.25,2.35
5.5,2.4,2.62,2.4,2.24,2.33
6.0,2.48,2.57,2.34,2.26,2.35
6.5,2.51,2.45,2.38,2.22,2.32
7.0,2.5,2.42,2.35,2.36,2.34
7.5,4.89,2.39,2.37,2.33,2.32
8.0,4.86,2.43,2.36,2.34,2.26
8.5,4.86,2.43,2.36,2.28,2.23
9.0,4.34,2.45,2.52,2.25,2.28
9.5,2.45,2.54,2.5,2.28,2.25
10.0,2.42,2.57,2.5,2.26,2.24
10.5,2.48,2.5,2.42,2.26,2.22
11.0,2.47,2.61,2.38,2.26,2.19
11.5,2.44,2.44,2.36,2.26,2.19
12.0,2.47,2.48,2.4,2.27,2.18
12.5,2.42,2.38,2.36,2.28,2.19
13.0,2.45,2.41,2.3,2.28,2.19
13.5,2.47,2.38,2.27,2.34,2.2
14.0,2.6,2.43,2.53,2.34,2.18
14.5,2.55,2.45,2.53,2.32,2.2
15.0,2.57,2.51,2.56,2.31,2.2
15.5,2.5,2.56,2.61,2.2,2.19
16.0,2.42,2.53,2.4,2.21,2.21
16.5,2.43,2.5,2.42,2.21,2.21
17.0,2.49,2.41,2.37,2.22,2.21
17.5,2.51,2.41,2.34,2.19,2.18
18.0,2.52,2.48,2.28,2.18,2.21
18.5,2.42,2.56,2.32,2.21,2.22
19.0,2.4,2.53,2.35,2.21,2.23
19.5,2.39,2.52,2.36,2.23,2.24
20.0,2.37,2.47,2.33,2.26,2.26
20.5,2.42,2.48,2.32,2.3,2.27
21.0,2.45,2.41,2.3,2.32,2.32
21.5,2.41,2.48,2.28,2.33,2.38
22.0,2.46,2.38,2.24,2.31,2.37
22.5,2.44,2.44,2.23,2.3,2.36
23.0,2.46,2.42,2.19,2.28,2.3
23.5,2.45,2.44,2.21,2.33,2.25
24.0,2.45,2.43,2.29,2.3,2.22
24.5,2.44,2.38,2.28,2.34,2.2
25.0,2.45,2.4,2.35,2.34,2.28
25.5,2.41,2.38,2.35,2.32,2.29
26.0,2.42,2.42,2.44,2.31,2.34
26.5,2.41,2.7,2.45,2.3,2.3
27.0,2.54,2.76,2.39,2.32,2.27
27.5,2.58,2.69,2.77,2.27,2.28
28.0,2.58,2.44,3.11,2.3,2.34
28.5,2.58,2.44,3.12,2.3,2.34
29.0,2.58,2.44,3.01,2.3,2.34
29.5,2.58,2.44,3.01,2.3,2.34
30.0,2.58,2.44,3.01,2.3,2.34
