minute,RR,WRR,LC,SED,NQ
0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0
1.0,91.73,137.73,287.7,13.37,13.83
1.5,11.7,20.77,27.33,10.35,10.6
2.0,12.13,12.06,14.02,10.1,10.41
2.5,12.04,11.62,13.54,9.79,11.0
3.0,12.18,10.98,10.32,10.18,10.48
3.5,12.06,11.91,10.73,10.07,10.2
4.0,11.52,11.33,10.28,10.43,10.1
4.5,11.5,12.18,11.02,10.07,9.65
5.0,11.73,11.63,10.67,10.14,10.65
5.5,11.4,12.36,11.61,9.73,9.76
6.0,11.93,11.9,10.9,10.14,10.27
6.5,12.17,11.77,11.49,9.69,9.46
7.0,12.03,11.91,10.56,10.14,10.09
7.5,12.99,11.47,10.92,9.88,9.65
8.0,12.74,11.79,10.95,9.85,10.08
8.5,12.64,11.66,10.88,10.28,9.68
9.0,12.31,11.82,11.26,9.9,10.25
9.5,11.95,11.8,10.78,10.5,9.97
10.0,11.56,12.2,10.97,10.11,10.09
10.5,12.03,11.46,10.46,10.34,10.17
11.0,11.77,12.28,10.82,9.81,9.44
11.5,11.43,11.26,10.35,9.97,9.55
12.0,11.89,11.82,11.07,9.84,9.24
12.5,11.48,10.99,10.37,10.17,9.4
13.0,11.94,11.54,10.98,10.26,9.49
13.5,11.72,11.35,10.27,10.51,9.59
14.0,12.03,11.76,10.72,10.66,9.28
14.5,11.58,11.92,10.79,9.87,9.48
15.0,11.94,12.04,10.37,10.42,9.68
15.5,11.41,12.23,10.99,9.5,9.05
16.0,11.8,12.04,10.53,9.65,9.77
16.5,11.98,12.14,11.01,9.53,10.03
17.0,11.95,11.53,10.11,9.68,10.03
17.5,12.12,11.67,10.44,9.75,9.88
18.0,11.98,11.57,9.69,9.58,10.28
18.5,11.68,12.23,10.72,9.68,9.92
19.0,11.29,11.84,10.28,9.55,10.16
19.5,11.53,12.25,10.92,9.76,9.96
20.0,11.16,11.74,10.45,9.9,9.73
20.5,11.54,12.13,10.62,10.38,10.09
21.0,11.68,11.39,10.65,10.26,10.17
21.5,11.35,12.19,10.19,10.62,10.77
22.0,11.86,11.21,10.1,10.28,10.32
22.5,11.55,11.93,10.14,10.5,10.75
23.0,11.89,11.39,10.15,9.95,10.16
23.5,11.74,11.63,10.13,10.55,9.98
24.0,11.93,11.85,10.31,10.29,9.57
24.5,11.75,11.34,9.92,10.5,9.58
25.0,11.98,11.71,10.53,10.99,10.27
25.5,11.8,11.36,11.26,10.56,10.14
26.0,11.92,11.69,11.23,10.84,10.71
26.5,11.97,11.69,11.57,10.26,10.17
27.0,11.84,12.18,10.81,10.82,10.34
27.5,12.18,11.45,11.53,10.08,10.12
28.0,12.18,11.81,10.88,10.75,10.54
28.5,12.18,11.81,11.29,10.75,10.54
29.0,12.18,11.81,10.36,10.75,10.54
29.5,12.18,11.81,10.36,10.75,10.54
30.0,12.18,11.81,10.36,10.75,10.54
