minute,RR,WRR,LC,SED,NQ
0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0
1.0,847.3,791.77,1085.67,275.83,558.33
1.5,25.5,358.27,556.0,22.73,18.73
2.0,25.67,28.7,353.97,20.77,22.87
2.5,25.47,23.27,205.53,20.57,24.8
3.0,25.07,23.1,22.03,20.13,24.57
3.5,26.07,26.83,21.4,20.4,20.5
4.0,24.97,25.43,22.07,20.3,21.47
4.5,24.8,26.9,21.93,19.73,21.63
5.0,24.13,24.67,20.93,19.6,22.2
5.5,24.03,25.07,21.77,18.83,22.8
6.0,24.93,24.03,20.12,20.47,21.27
6.5,25.13,23.5,21.87,19.8,21.4
7.0,25.47,23.6,20.83,20.47,21.5
7.5,104.17,23.3,22.43,19.67,20.77
8.0,104.33,22.6,21.73,20.9,20.53
8.5,104.27,23.23,22.3,21.07,18.4
9.0,81.67,22.8,21.87,20.3,20.23
9.5,25.47,24.83,22.17,20.37,18.37
10.0,24.97,25.4,22.37,20.6,18.73
10.5,25.83,25.13,22.57,20.63,18.73
11.0,25.1,26.83,23.0,20.67,18.02
11.5,25.0,24.73,21.07,21.3,19.01
12.0,25.47,25.1,21.67,21.1,19.29
12.5,25.4,22.7,20.8,22.03,19.19
13.0,25.73,23.17,21.5,20.97,18.27
13.5,25.8,22.33,20.5,22.63,18.02
14.0,26.3,23.2,22.13,22.5,16.99
14.5,25.2,22.87,21.87,22.6,18.46
15.0,25.7,24.87,22.4,22.13,18.81
15.5,24.57,25.5,24.2,20.3,18.87
16.0,24.47,25.2,23.23,18.13,19.19
16.5,24.67,24.53,23.13,17.4,19.43
17.0,25.93,22.23,23.03,17.43,18.72
17.5,26.27,22.53,21.67,17.76,18.26
18.0,26.17,24.1,21.9,18.08,19.14
18.5,24.5,25.23,23.43,18.7,19.15
19.0,23.83,25.13,22.3,18.63,19.53
19.5,24.17,24.8,23.27,19.9,19.6
20.0,23.77,24.8,20.9,20.87,19.43
20.5,24.4,25.0,20.93,21.93,20.47
21.0,24.5,24.0,20.1,21.93,20.83
21.5,24.07,23.87,19.63,22.4,22.5
22.0,24.37,21.93,19.3,20.97,22.13
22.5,24.73,23.37,19.18,22.1,23.57
23.0,24.77,23.2,19.43,19.93,21.97
23.5,25.17,23.83,19.73,21.9,21.4
24.0,25.33,23.43,20.9,20.87,19.5
24.5,24.67,23.47,20.07,22.5,19.43
25.0,24.8,22.6,21.73,22.27,22.53
25.5,23.8,22.27,21.97,22.23,22.33
26.0,23.87,22.63,23.13,22.03,23.0
26.5,24.3,25.4,23.1,22.27,22.33
27.0,25.43,26.03,21.8,21.77,21.47
27.5,26.0,25.33,24.0,21.67,20.97
28.0,26.0,24.1,23.93,21.87,22.73
28.5,26.0,24.1,24.43,21.87,22.73
29.0,26.0,24.1,23.87,21.87,22.73
29.5,26.0,24.1,23.87,21.87,22.73
30.0,26.0,24.1,23.87,21.87,22.73
