algorithm,pod,pod_short,total_requests,algorithm_total_requests,share_percent,scale_factor,normalized_requests
RR,podinfo-5bfbdcc5f9-84sd6,84sd6,112000.0,335000.0,33.43283582089553,0.9970149253731343,111665.67164179104
RR,podinfo-5bfbdcc5f9-t5wjm,t5wjm,112000.0,335000.0,33.43283582089553,0.9970149253731343,111665.67164179104
RR,podinfo-5bfbdcc5f9-wj2rv,wj2rv,111000.0,335000.0,33.134328358208954,0.9970149253731343,110668.65671641791
WRR,podinfo-5bfbdcc5f9-84sd6,84sd6,112000.0,335000.0,33.43283582089553,0.9970149253731343,111665.67164179104
WRR,podinfo-5bfbdcc5f9-t5wjm,t5wjm,111000.0,335000.0,33.134328358208954,0.9970149253731343,110668.65671641791
WRR,podinfo-5bfbdcc5f9-wj2rv,wj2rv,112000.0,335000.0,33.43283582089553,0.9970149253731343,111665.67164179104
LC,podinfo-5bfbdcc5f9-84sd6,84sd6,110000.0,348000.0,31.60919540229885,0.9597701149425287,105574.71264367815
LC,podinfo-5bfbdcc5f9-t5wjm,t5wjm,127000.0,348000.0,36.49425287356322,0.9597701149425287,121890.80459770115
LC,podinfo-5bfbdcc5f9-wj2rv,wj2rv,111000.0,348000.0,31.896551724137932,0.9597701149425287,106534.4827586207
SED,podinfo-5bfbdcc5f9-84sd6,84sd6,130000.0,335000.0,38.80597014925373,0.9970149253731343,129611.94029850746
SED,podinfo-5bfbdcc5f9-t5wjm,t5wjm,101000.0,335000.0,30.149253731343283,0.9970149253731343,100698.50746268657
SED,podinfo-5bfbdcc5f9-wj2rv,wj2rv,104000.0,335000.0,31.044776119402982,0.9970149253731343,103689.55223880596
NQ,podinfo-5bfbdcc5f9-84sd6,84sd6,128000.0,334000.0,38.32335329341318,1.0,128000.0
NQ,podinfo-5bfbdcc5f9-t5wjm,t5wjm,102000.0,334000.0,30.538922155688624,1.0,102000.0
NQ,podinfo-5bfbdcc5f9-wj2rv,wj2rv,104000.0,334000.0,31.137724550898206,1.0,104000.0
