algorithm,pod,pod_short,total_seconds,total_minutes,algorithm_total_seconds,share_percent
RR,podinfo-5bfbdcc5f9-84sd6,84sd6,285.0,4.75,877.2,32.489740082079344
RR,podinfo-5bfbdcc5f9-t5wjm,t5wjm,314.40000000000003,5.24,877.2,35.841313269493845
RR,podinfo-5bfbdcc5f9-wj2rv,wj2rv,277.8,4.63,877.2,31.66894664842681
WRR,podinfo-5bfbdcc5f9-84sd6,84sd6,254.4,4.24,830.9999999999999,30.613718411552355
WRR,podinfo-5bfbdcc5f9-t5wjm,t5wjm,330.59999999999997,5.51,830.9999999999999,39.78339350180505
WRR,podinfo-5bfbdcc5f9-wj2rv,wj2rv,245.99999999999997,4.1,830.9999999999999,29.602888086642597
LC,podinfo-5bfbdcc5f9-84sd6,84sd6,325.2,5.42,985.2,33.00852618757612
LC,podinfo-5bfbdcc5f9-t5wjm,t5wjm,354.6,5.91,985.2,35.99269183922046
LC,podinfo-5bfbdcc5f9-wj2rv,wj2rv,305.4,5.09,985.2,30.998781973203403
SED,podinfo-5bfbdcc5f9-84sd6,84sd6,279.0,4.65,756.6,36.87549563838223
SED,podinfo-5bfbdcc5f9-t5wjm,t5wjm,253.2,4.22,756.6,33.46550356859635
SED,podinfo-5bfbdcc5f9-wj2rv,wj2rv,224.4,3.74,756.6,29.659000793021413
NQ,podinfo-5bfbdcc5f9-84sd6,84sd6,281.40000000000003,4.69,765.6,36.75548589341693
NQ,podinfo-5bfbdcc5f9-t5wjm,t5wjm,253.2,4.22,765.6,33.072100313479616
NQ,podinfo-5bfbdcc5f9-wj2rv,wj2rv,231.0,3.85,765.6,30.17241379310345
