minute,RR,WRR,LC,SED,NQ
0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0
1.0,13.81,186.83,9.06,96.67,32.13
1.5,8.87,408.63,8.05,13.52,15.66
2.0,8.36,227.26,8.1,9.39,11.1
2.5,8.39,156.68,8.06,7.99,8.3
3.0,8.46,71.83,8.03,8.03,8.04
3.5,8.5,18.35,8.04,8.15,8.05
4.0,8.42,18.4,8.06,8.24,8.13
4.5,8.52,17.97,8.1,8.45,8.19
5.0,8.46,8.19,8.14,8.41,8.25
5.5,8.41,8.26,8.28,8.37,8.33
6.0,8.39,8.27,8.38,8.32,8.36
6.5,8.26,8.23,8.4,8.21,8.33
7.0,8.37,8.15,8.36,8.14,8.22
7.5,8.4,8.11,8.26,8.07,8.14
8.0,8.54,8.16,8.24,8.11,8.18
8.5,8.49,8.21,8.25,8.07,8.16
9.0,8.58,8.31,8.25,8.04,8.16
9.5,8.49,8.27,8.25,8.06,8.13
10.0,8.45,8.21,8.26,8.01,8.09
10.5,142.0,157.4,8.39,8.06,8.15
11.0,162.6,157.75,8.35,8.07,8.16
11.5,292.0,157.39,8.37,8.03,8.11
12.0,420.33,72.37,8.34,7.99,8.1
12.5,270.39,8.29,8.28,8.03,8.22
13.0,250.89,8.18,8.33,8.18,8.23
13.5,10.05,8.18,8.23,8.29,8.21
14.0,9.88,8.19,8.22,8.38,8.15
14.5,8.42,8.14,8.24,8.37,8.15
15.0,8.35,8.16,8.25,8.26,8.17
15.5,8.32,8.13,8.27,8.2,8.2
16.0,8.35,8.17,8.27,8.09,8.17
16.5,8.34,8.17,8.26,8.07,8.13
17.0,8.26,8.13,8.3,8.1,8.11
17.5,8.31,8.13,8.26,8.08,8.09
18.0,8.22,8.23,8.26,8.02,8.08
18.5,8.39,8.34,8.17,8.06,8.1
19.0,8.45,8.48,8.22,8.04,8.06
19.5,8.37,8.48,8.27,8.06,8.09
20.0,8.31,8.51,8.45,8.08,8.09
20.5,8.57,8.43,8.55,8.09,8.15
21.0,8.63,8.39,8.61,8.09,8.12
21.5,8.74,8.35,8.49,8.16,8.16
22.0,8.72,8.49,8.48,8.14,8.12
22.5,8.4,8.43,8.5,8.15,8.11
23.0,8.34,8.4,8.56,8.17,8.15
23.5,8.34,8.36,8.47,8.22,8.14
24.0,8.43,8.22,8.4,8.19,8.16
24.5,8.42,8.24,8.23,8.16,8.14
25.0,8.44,8.29,8.22,8.11,8.13
25.5,8.38,8.27,8.29,8.1,8.07
26.0,8.38,8.24,8.35,8.31,8.08
26.5,8.38,8.24,8.36,8.28,8.08
27.0,8.38,8.19,8.35,8.27,8.09
27.5,8.38,8.19,8.35,8.23,8.13
28.0,8.38,8.19,8.35,8.23,8.13
28.5,8.38,8.19,8.35,8.23,8.13
29.0,8.38,8.19,8.35,8.23,8.13
29.5,8.38,8.19,8.35,8.23,8.13
30.0,8.38,8.19,8.35,8.23,8.13
