minute,RR,WRR,LC,SED,NQ
0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0
1.0,558.47,887.4,481.13,641.33,910.6
1.5,230.3,1251.0,11.18,454.67,412.47
2.0,16.13,915.57,10.52,306.4,141.8
2.5,16.53,736.3,10.02,9.97,13.3
3.0,17.13,538.63,11.61,11.0,11.03
3.5,17.37,395.73,14.77,12.49,11.31
4.0,16.4,396.13,18.0,13.48,11.25
4.5,18.37,388.63,19.03,14.77,12.17
5.0,17.8,13.33,18.03,15.17,13.43
5.5,17.1,13.67,15.67,15.33,15.0
6.0,17.5,14.1,12.43,14.3,15.2
6.5,14.53,13.98,12.29,13.83,14.93
7.0,16.73,12.84,17.7,13.17,13.13
7.5,16.77,12.0,19.97,11.76,11.89
8.0,18.47,12.28,20.03,12.2,12.87
8.5,17.93,13.02,19.0,11.72,12.27
9.0,18.77,15.1,12.0,11.35,12.16
9.5,17.4,14.26,11.97,11.94,12.08
10.0,17.1,13.93,12.03,12.07,11.81
10.5,636.77,726.53,11.88,12.26,12.85
11.0,651.3,729.33,11.42,12.68,13.05
11.5,942.13,729.33,11.5,11.55,12.47
12.0,1167.87,342.53,11.78,11.27,11.32
12.5,984.2,15.63,11.94,10.86,13.8
13.0,978.2,12.84,12.56,12.66,14.63
13.5,194.13,13.2,12.79,14.4,13.37
14.0,194.07,12.85,12.65,15.8,12.63
14.5,16.97,12.42,11.56,15.8,12.2
15.0,15.83,12.77,10.78,14.57,12.37
15.5,15.83,11.93,11.87,13.56,13.07
16.0,16.57,12.56,13.2,11.22,13.2
16.5,16.03,12.78,13.25,11.19,12.94
17.0,14.97,12.08,12.49,11.8,12.95
17.5,16.7,11.6,10.9,11.9,12.39
18.0,15.8,13.13,11.56,10.38,12.3
18.5,23.63,14.93,11.54,11.45,12.03
19.0,24.03,16.97,12.66,10.78,12.13
19.5,17.73,17.03,11.99,11.51,12.2
20.0,15.73,17.57,12.19,11.81,11.8
20.5,21.03,16.37,12.34,11.29,13.47
21.0,21.1,15.8,12.65,11.9,12.77
21.5,21.5,15.3,12.98,12.15,13.9
22.0,21.67,18.27,13.22,11.82,12.43
22.5,16.57,17.8,13.38,11.77,12.05
23.0,16.27,17.47,12.72,12.37,12.87
23.5,15.73,16.97,13.27,12.8,12.51
24.0,16.27,13.07,12.17,13.15,12.47
24.5,16.23,13.23,12.3,12.82,12.59
25.0,16.73,14.4,11.93,12.21,12.04
25.5,15.93,14.13,12.82,11.96,11.74
26.0,16.07,14.43,13.73,16.9,11.23
26.5,16.07,14.26,15.13,16.43,11.91
27.0,16.07,13.45,13.83,16.23,11.84
27.5,16.07,13.45,13.73,15.93,12.28
28.0,16.07,13.45,13.73,15.93,12.28
28.5,16.07,13.45,13.73,15.93,12.28
29.0,16.07,13.45,13.73,15.93,12.28
29.5,16.07,13.45,13.73,15.93,12.28
30.0,16.07,13.45,13.73,15.93,12.28
