algorithm,pod,pod_short,total_requests,algorithm_total_requests,share_percent,scale_factor,normalized_requests
RR,podinfo-5bfbdcc5f9-84sd6,84sd6,106000.0,318000.0,33.33333333333333,1.0,106000.0
RR,podinfo-5bfbdcc5f9-t5wjm,t5wjm,106000.0,318000.0,33.33333333333333,1.0,106000.0
RR,podinfo-5bfbdcc5f9-wj2rv,wj2rv,106000.0,318000.0,33.33333333333333,1.0,106000.0
WRR,podinfo-5bfbdcc5f9-84sd6,84sd6,109000.0,327000.0,33.33333333333333,0.9724770642201835,106000.0
WRR,podinfo-5bfbdcc5f9-t5wjm,t5wjm,109000.0,327000.0,33.33333333333333,0.9724770642201835,106000.0
WRR,podinfo-5bfbdcc5f9-wj2rv,wj2rv,109000.0,327000.0,33.33333333333333,0.9724770642201835,106000.0
LC,podinfo-5bfbdcc5f9-84sd6,84sd6,103000.0,326000.0,31.595092024539877,0.9754601226993865,100472.3926380368
LC,podinfo-5bfbdcc5f9-t5wjm,t5wjm,118000.0,326000.0,36.19631901840491,0.9754601226993865,115104.2944785276
LC,podinfo-5bfbdcc5f9-wj2rv,wj2rv,105000.0,326000.0,32.20858895705521,0.9754601226993865,102423.31288343559
SED,podinfo-5bfbdcc5f9-84sd6,84sd6,110000.0,331400.0,33.1925165962583,0.9595654797827399,105552.20277610139
SED,podinfo-5bfbdcc5f9-t5wjm,t5wjm,89400.0,331400.0,26.976463488231744,0.9595654797827399,85785.15389257694
SED,podinfo-5bfbdcc5f9-wj2rv,wj2rv,132000.0,331400.0,39.831019915509955,0.9595654797827399,126662.64333132167
NQ,podinfo-5bfbdcc5f9-84sd6,84sd6,109000.0,328500.0,33.181126331811264,0.9680365296803652,105515.98173515982
NQ,podinfo-5bfbdcc5f9-t5wjm,t5wjm,86500.0,328500.0,26.331811263318112,0.9680365296803652,83735.1598173516
NQ,podinfo-5bfbdcc5f9-wj2rv,wj2rv,133000.0,328500.0,40.48706240487062,0.9680365296803652,128748.85844748857
